Wiek;Płeć;5 km Czas;Czas
32.0;M;1319.0;5766.0
28.0;M;1430.0;5770.0
41.0;M;1250.0;5770.0
55.0;M;1319.0;5770.0
30.0;K;1335.0;5771.0
37.0;M;1324.0;5774.0
38.0;M;1355.0;5776.0
32.0;M;1344.0;5776.0
31.0;M;1283.0;5776.0
49.0;M;1290.0;5781.0
34.0;M;1369.0;5781.0
37.0;M;1362.0;5784.0
42.0;K;1343.0;5784.0
39.0;M;1287.0;5784.0
32.0;M;1238.0;5785.0
32.0;M;1318.0;5786.0
39.0;M;1359.0;5787.0
24.0;M;1359.0;5787.0
38.0;M;1272.0;5787.0
52.0;M;1301.0;5790.0
35.0;M;1395.0;5790.0
49.0;M;1376.0;5791.0
39.0;M;1332.0;5791.0
37.0;M;1320.0;5791.0
35.0;M;1295.0;5792.0
49.0;M;1326.0;5792.0
38.0;M;1282.0;5793.0
41.0;M;1341.0;5793.0
26.0;K;1344.0;5793.0
36.0;M;1364.0;5795.0
61.0;M;1360.0;5796.0
44.0;K;1284.0;5798.0
38.0;M;1341.0;5799.0
47.0;M;1312.0;5801.0
55.0;M;1301.0;5803.0
32.0;M;1356.0;5804.0
41.0;M;1332.0;5804.0
51.0;M;1352.0;5804.0
;M;1339.0;5805.0
27.0;M;1233.0;5805.0
21.0;M;1359.0;5806.0
44.0;M;1321.0;5807.0
39.0;M;1322.0;5809.0
29.0;M;1355.0;5810.0
38.0;M;1347.0;5812.0
41.0;M;1371.0;5817.0
45.0;M;1328.0;5817.0
42.0;M;1349.0;5817.0
29.0;M;1338.0;5817.0
35.0;M;1392.0;5817.0
45.0;M;1313.0;5818.0
40.0;M;1322.0;5818.0
35.0;M;;5821.0
50.0;M;1304.0;5821.0
50.0;M;1353.0;5821.0
31.0;M;1347.0;5821.0
24.0;M;1354.0;5821.0
46.0;M;1366.0;5823.0
41.0;M;1422.0;5825.0
36.0;K;1302.0;5826.0
44.0;M;1352.0;5827.0
35.0;M;1242.0;5827.0
48.0;M;1374.0;5829.0
30.0;M;1322.0;5829.0
37.0;M;1367.0;5831.0
29.0;M;1286.0;5831.0
39.0;M;1369.0;5834.0
44.0;M;1367.0;5835.0
29.0;M;1312.0;5836.0
31.0;M;1370.0;5837.0
48.0;M;1321.0;5840.0
18.0;M;1320.0;5843.0
43.0;M;1381.0;5843.0
38.0;M;1372.0;5844.0
29.0;M;1343.0;5847.0
29.0;M;1398.0;5847.0
27.0;M;1343.0;5847.0
23.0;M;1280.0;5848.0
30.0;M;1329.0;5848.0
